Date,Actual,Prediction
2020-02-27,1.0,0.0
2020-02-28,3.0,0.0
2020-02-29,3.0,0.00033879885984874246
2020-03-01,3.0,0.0036844742143477193
2020-03-02,3.0,0.020651967165568913
2020-03-03,3.0,0.0798750853647805
2020-03-04,4.0,0.24164767334520754
2020-03-05,6.0,0.6137448548775343
2020-03-06,9.0,1.3676286398222468
2020-03-07,9.0,2.7533472499369402
2020-03-08,15.0,5.1117169684134565
2020-03-09,15.0,8.882754818371236
2020-03-10,25.0,14.609735212948223
2020-03-11,45.0,22.938625852012287
2020-03-12,49.0,34.61298925900661
2020-03-13,89.0,50.46470247689806
2020-03-14,123.0,71.40104458861354
2020-03-15,131.0,98.3888325219084
2020-03-16,158.0,132.43635672496077
2020-03-17,184.0,174.5738886197938
2020-03-18,260.0,225.833510963547
2020-03-19,277.0,287.2289700152036
2020-03-20,308.0,359.73617370841544
2020-03-21,367.0,444.27487086290114
2020-03-22,433.0,541.6919496528949
2020-03-23,576.0,652.7466947014582
2020-03-24,794.0,778.0982457152342
2020-03-25,906.0,918.2954098566487
2020-03-26,1029.0,1073.7688974407993
2020-03-27,1292.0,1244.825977577578
2020-03-28,1452.0,1431.647487892014
2020-03-29,1815.0,1634.2870807165946
2020-03-30,2109.0,1852.6725469824203
2020-03-31,2245.0,2086.6090279300515
2020-04-01,2460.0,2335.783902963945
2020-04-02,2738.0,2599.7731285753816
2020-04-03,3183.0,2878.048797254485
2020-04-04,3613.0,3169.987685661425
2020-04-05,3864.0,3474.880566993994
2020-04-06,4057.0,3791.942072474992
2020-04-07,4417.0,4120.32090025034
2020-04-08,4761.0,4459.110185877557
2020-04-09,5202.0,4807.357866220428
2020-04-10,5467.0,5164.076887268612
2020-04-11,5990.0,5528.2551255823
2020-04-12,6300.0,5898.86491222485
2020-04-13,6633.0,6274.872066780514
2020-04-14,6879.0,6655.244367030226
2020-04-15,7216.0,7038.959396820596
2020-04-16,7707.0,7425.011730420398
2020-04-17,8067.0,7812.41942608444
2020-04-18,8418.0,8200.229814556447
2020-04-19,8746.0,8587.524579804689
2020-04-20,8936.0,8973.424139395122
2020-04-21,9242.0,9357.091340597104
2020-04-22,9710.0,9737.734495638677
2020-04-23,10096.0,10114.609785553004
2020-04-24,10417.0,10487.023066870246
2020-04-25,10635.0,10854.331119102855
2020-04-26,11036.0,11215.94237364789
2020-04-27,11339.0,11571.317166488803
2020-04-28,11616.0,11919.967558024871
2020-04-29,11978.0,12261.456763589074
2020-04-30,12240.0,12595.398237832886
2020-05-01,12567.0,12921.454455251016
2020-05-02,12732.0,13239.335427778278
2020-05-03,13163.0,13548.796998695003
2020-05-04,13512.0,13849.638950100754
2020-05-05,13837.0,14141.702959025652
2020-05-06,14107.0,14424.870434905371
2020-05-07,14499.0,14699.060268701925
2020-05-08,14811.0,14964.226521456556
2020-05-09,15131.0,15220.35607755197
2020-05-10,15362.0,15467.466285475128
2020-05-11,15588.0,15705.602606437114
2020-05-12,15778.0,15934.836288847597
2020-05-13,16002.0,16155.262084377198
2020-05-14,16247.0,16366.99601918781
2020-05-15,16437.0,16570.17323187828
2020-05-16,16704.0,16764.945887790942
2020-05-17,16871.0,16951.481177556856
2020-05-18,17036.0,17129.95940612773
2020-05-19,17191.0,17300.57217705054
2020-05-20,17387.0,17463.52067538512
2020-05-21,17585.0,17619.014051443293
2020-05-22,17712.0,17767.267906435238
2020-05-23,17857.0,17908.502880140244
2020-05-24,18070.0,18042.943339868456
2020-05-25,18283.0,18170.816169241596
2020-05-26,18429.0,18292.3496546857
2020-05-27,18594.0,18407.77246699246
2020-05-28,18791.0,18517.312734858522
2020-05-29,18982.0,18621.197206947723
2020-05-30,19133.0,18719.65049873286
2020-05-31,19257.0,18812.894420152712
2020-06-01,19398.0,18901.147379961785
2020-06-02,19517.0,18984.623862545996
2020-06-03,19669.0,19063.533972923095
2020-06-04,19907.0,19138.083045634292
2020-06-05,20103.0,19208.471313258764
2020-06-06,20290.0,19274.89363034125
2020-06-07,20479.0,19337.539248606834
2020-06-08,20604.0,19396.5916394463
2020-06-09,20749.0,19452.228359782563
2020-06-10,20945.0,19504.620957571078
2020-06-11,,19553.934913342626
2020-06-12,,19600.329614361017
2020-06-13,,19643.958358138327
2020-06-14,,19684.96838222625
2020-06-15,,19723.50091737827
2020-06-16,,19759.69126135534
2020-06-17,,19793.66887082371
2020-06-18,,19825.557468967465
2020-06-19,,19855.47516660788
2020-06-20,,19883.534594788227
2020-06-21,,19909.843046940812
2020-06-22,,19934.502628909733
2020-06-23,,19957.610415248
