Date,Actual,Prediction
2020-03-01,3.0,0.0
2020-03-02,5.0,0.0
2020-03-03,5.0,8.98812404576226e-18
2020-03-04,28.0,4.541386555038489e-15
2020-03-05,30.0,3.632403159086735e-13
2020-03-06,31.0,1.0663339871947285e-11
2020-03-07,34.0,1.670398100732743e-10
2020-03-08,39.0,1.6987547391295737e-09
2020-03-09,43.0,1.2587067304054732e-08
2020-03-10,56.0,7.31667288067823e-08
2020-03-11,62.0,3.509153907808216e-07
2020-03-12,73.0,1.4396036274027905e-06
2020-03-13,82.0,5.1883418242249195e-06
2020-03-14,102.0,1.6764716441988652e-05
2020-03-15,113.0,4.9344798488638105e-05
2020-03-16,119.0,0.0001339834687444428
2020-03-17,142.0,0.0003390512133007455
2020-03-18,156.0,0.000806357089439888
2020-03-19,194.0,0.001814954017004164
2020-03-20,244.0,0.0038888759938376875
2020-03-21,330.0,0.007971887934037865
2020-03-22,396.0,0.01570087749035428
2020-03-23,499.0,0.029819836876800572
2020-03-24,536.0,0.05478841286262915
2020-03-25,657.0,0.09765255758404653
2020-03-26,727.0,0.16925956561371763
2020-03-27,887.0,0.2859152678478589
2020-03-28,987.0,0.47159677263546357
2020-03-29,1024.0,0.7608491878482159
2020-03-30,1251.0,1.2025084256076184
2020-03-31,1397.0,1.8644036317217094
2020-04-01,1998.0,2.8392011271484057
2020-04-02,2543.0,4.251556158446282
2020-04-03,2567.0,6.2667384569273
2020-04-04,3082.0,9.100891940836064
2020-04-05,3588.0,13.033077346959216
2020-04-06,4778.0,18.419228811164736
2020-04-07,5311.0,25.70813129674576
2020-04-08,5916.0,35.459495377478845
2020-04-09,6725.0,48.364169524917244
2020-04-10,7598.0,65.26648825337452
2020-04-11,8446.0,87.18870797732725
2020-04-12,9205.0,115.35743216016812
2020-04-13,10453.0,151.2318743686561
2020-04-14,11487.0,196.53375341233266
2020-04-15,12322.0,253.2785601527093
2020-04-16,13430.0,323.8078821770943
2020-04-17,14352.0,410.8224217219546
2020-04-18,15722.0,517.4152953464765
2020-04-19,17615.0,647.1051621753325
2020-04-20,18539.0,803.8686922219192
2020-04-21,20080.0,992.1718584028918
2020-04-22,21370.0,1216.9995162298544
2020-04-23,23077.0,1483.8827244952429
2020-04-24,24530.0,1798.9232590344259
2020-04-25,26283.0,2168.814780109392
2020-04-26,27890.0,2600.8601321693186
2020-04-27,29451.0,3102.9842825336773
2020-04-28,31324.0,3683.742442542213
2020-04-29,33062.0,4352.322960357676
2020-04-30,34863.0,5118.544628150109
2020-05-01,37257.0,5992.8481069398
2020-05-02,39699.0,6986.2812389020255
2020-05-03,42505.0,8110.478088309284
2020-05-04,46437.0,9377.631627293951
2020-05-05,49400.0,10800.460059999046
2020-05-06,52987.0,12392.166857162885
2020-05-07,56351.0,14166.394651477996
2020-05-08,59695.0,16137.173220928735
2020-05-09,62808.0,18318.861861550507
2020-05-10,67161.0,20726.086521545596
2020-05-11,70768.0,23373.672134410797
2020-05-12,74292.0,26276.57064875834
2020-05-13,78055.0,29449.785306047102
2020-05-14,81997.0,32908.291763814705
2020-05-15,85784.0,36666.95670068149
2020-05-16,90648.0,40740.45456998839
2020-05-17,95698.0,45143.18319117925
2020-05-18,100328.0,49889.1788818264
2020-05-19,106475.0,54992.03183854066
2020-05-20,112028.0,60464.802472047006
2020-05-21,118226.0,66319.93939069838
2020-05-22,124794.0,72569.19970801433
2020-05-23,131423.0,79223.57232392026
2020-05-24,138536.0,86293.20479677789
2020-05-25,144950.0,93787.33438465142
